Область,Район,Назва,Категорія,Рік,Кількість населених пунктів,Площа,Населення,Створена,Кількість рад у 2020 році,Перелік всіх рад у 2020 році
Вінницька область,Вінницький район,Іллінецька територіальна громада,міська,2020,30,469.3,21374,28.08.2016,13,"Іллінецька міська рада, Іллінецька сільська рада, Бабинська сільська рада, Василівська сільська рада, Жаданівська сільська рада, Жорницька сільська рада, Красненьківська сільська рада, Павлівська сільська рада, Паріївська сільська рада, Слободищенська сільська рада, Тягунська сільська рада, Хрінівська сільська рада, Якубівська сільська рада"
Вінницька область,Вінницький район,Агрономічна територіальна громада,сільська,2020,6,86.1,9304,25.10.2020,4,"Агрономічна сільська рада, Ільківська сільська рада, Бохоницька сільська рада, Медвежо-Вушківська сільська рада"
Вінницька область,Вінницький район,Вороновицька територіальна громада,селищна,2020,21,373.5,17230,18.12.2016,13,"Вороновицька селищна рада, Гуменська сільська рада, Жабелівська сільська рада, Комарівська сільська рада, Оленівська сільська рада, Побережненська сільська рада, Степанівська сільська рада, Воловодівська сільська рада, Обідненська сільська рада, Довгополівська сільська рада, Марківська сільська рада, Тростянецька сільська рада, Шендерівська сільська рада"
Вінницька область,Вінницький район,Вінницька територіальна громада,міська,2020,9,256.6,388204,25.10.2020,8,"Вінницька міська рада, Деснянська селищна рада, Великокрушлинецька сільська рада, Вінницько-Хутірська сільська рада, Гавришівська сільська рада, Малокрушлинецька сільська рада, Писарівська сільська рада, Стадницька сільська рада"
Вінницька область,Вінницький район,Гніванська територіальна громада,міська,2020,11,244.5,18697,29.10.2017,5,"Гніванська міська рада, Ворошилівська сільська рада, Селищенська сільська рада, Демидівська сільська рада, Потоківська сільська рада"
Вінницька область,Вінницький район,Липовецька територіальна громада,міська,2020,39,614.8,20669,25.10.2020,18,"Липовецька міська рада, Іваньківська сільська рада, Богданівська сільська рада, Вербівська сільська рада, Війтовецька сільська рада, Зозівська сільська рада, Зозівківська сільська рада, Лозуватська сільська рада, Лукашівська сільська рада, Нападівська сільська рада, Попівська сільська рада, Росошанська сільська рада, Скитківська сільська рада, Славнянська сільська рада, Струтинська сільська рада, Трощанська сільська рада, Щасливська сільська рада, Очитківська сільська рада"
Вінницька область,Вінницький район,Лука-Мелешківська територіальна громада,сільська,2020,13,166.2,11239,29.10.2017,7,"Луко-Мелешківська сільська рада, Іванівська сільська рада, Парпуровецька сільська рада, Сокиринецька сільська рада, Хижинецька сільська рада, Пилявська сільська рада, Яришівська сільська рада"
Вінницька область,Вінницький район,Літинська територіальна громада,селищна,2020,36,587.4,21449,30.06.2019,14,"Літинська селищна рада, Івчанська сільська рада, Багриновецька сільська  рада, Бруслинівська сільська рада, Бірківська сільська рада, Горбовецька сільська рада, Громадська сільська рада, Дяковецька сільська рада, Кулизька сільська рада, Літинецька сільська рада, Малинівська сільська рада, Осолинська сільська рада, Селищенська сільська рада, Соснівська сільська рада"
Вінницька область,Вінницький район,Немирівська територіальна громада,міська,2020,53,676.9,28472,18.12.2016,21,"Немирівська міська рада, Байраківська сільська рада, Боблівська сільська рада, Бондурівська сільська рада, Великобушинська сільська рада, Воробіївська сільська рада, Головеньківська сільська рада, Зарудинецька сільська рада, Ковалівська сільська рада, Криковецька сільська рада, Кудлаївська сільська рада, Медвежанська сільська рада, Муховецька сільська рада, Никифоровецька сільська рада, Кіровська сільська рада, Рубанська сільська рада, Сокілецька сільська рада, Сподахівська сільська рада, Стрільчинецька сільська рада, Чуківська сільська рада, Язвинківська сільська рада"
Вінницька область,Вінницький район,Оратівська територіальна громада,селищна,2020,52,837.4,18782,18.12.2016,27,"Оратівська селищна рада, Балабанівська сільська рада, Великоростівська сільська рада, Животівська сільська рада, Зарудянська сільська рада, Кожанська сільська рада, Кошланівська сільська рада, Лопатинська сільська рада, Медівська сільська рада, Новоживотівська сільська рада, Оратівська сільська рада, Осичнянська сільська рада, Підвисоцька сільська рада, Рожичнянська сільська рада, Сабарівська сільська рада, Скальська сільська рада, Скоморошківська сільська рада, Сологубівська сільська рада, Стрижаківська сільська рада, Угарівська сільська рада, Фронтівська сільська рада, Чагівська сільська рада, Чернявська сільська рада, Човновицька сільська рада, Юшківецька сільська рада, Яблуновицька сільська рада, Якимівська сільська рада"
Вінницька область,Вінницький район,Погребищенська територіальна громада,міська,2020,60,1202.3,27731,25.10.2020,27,"Погребищенська міська рада, Адамівська сільська рада, Андрушівська сільська рада, Бабинецька сільська рада, Борщагівська сільська рада, Білашківська сільська рада, Гопчицька сільська рада, Дзюньківська сільська рада, Довгалівська сільська рада, Збаржівська сільська рада, Левківська сільська рада, Мончинська сільська рада, Морозівська сільська рада, Надроссянська сільська рада, Новофастівська сільська рада, Очеретнянська сільська рада, Павлівська сільська рада, Педосівська сільська рада, Плисківська сільська рада, Розкопанська сільська рада, Саражинецька сільська рада, Сніжнянська сільська рада, Спичинецька сільська рада, Станилівська сільська рада, Старостинецька сільська рада, Черемошненська сільська рада, Ширмівська сільська рада"
Вінницька область,Вінницький район,Стрижавська територіальна громада,селищна,2020,13,240.3,19296,25.10.2020,6,"Стрижавська селищна рада, Дорожненська сільська рада, Лаврівська сільська рада, Мізяківсько-Хутірська сільська рада, Сосонська сільська рада, Пеньківська сільська рада"
Вінницька область,Вінницький район,Сутисківська територіальна громада,селищна,2020,3,63.2,6695,30.06.2019,2,"Сутисківська селищна рада, Шершнівська сільська рада"
Вінницька область,Вінницький район,Тиврівська територіальна громада,селищна,2020,26,420.4,11128,25.10.2020,13,"Тиврівська селищна рада, Іванковецька сільська рада, Василівська сільська рада, Гришовецька сільська рада, Дзвониська сільська рада, Жахнівська сільська рада, Колюхівська сільська рада, Новоміська сільська рада, Краснянська сільська рада, Рахно-Полівська сільська рада, Строїнецька сільська рада, Уяринецька сільська рада, Черемошненська сільська рада"
Вінницька область,Вінницький район,Турбівська територіальна громада,селищна,2020,22,391.5,15507,25.10.2020,10,"Турбівська селищна рада, Брицька сільська рада, Білянська сільська рада, Вахнівська сільська рада, Козинецька сільська рада, Костянтинівська сільська рада, Новоприлуцька сільська рада, Приборівська сільська рада, Сиваковецька сільська рада, Староприлуцька сільська рада"
Вінницька область,Вінницький район,Якушинецька територіальна громада,сільська,2020,17,279.1,16349,30.04.2017,8,"Якушинецька сільська рада, Ксаверівська сільська рада, Майданська сільська рада, Некрасовська сільська рада, Пултівецька сільська рада, Широкогребельська сільська рада, Дашковецька сільська рада, Микулинецька сільська рада"
Вінницька область,Гайсинський район,Бершадська територіальна громада,міська,2020,29,870.5,42953,25.10.2020,19,"Бершадська міська рада, Баланівська сільська рада, Бирлівська сільська рада, Великокиріївська сільська рада, Війтівська сільська рада, Голдашівська сільська рада, Кидрасівська сільська рада, Кошаринецька сільська рада, Красносільська сільська рада, Лісниченська сільська рада, Маньківська сільська рада, Михайлівська сільська рада, Осіївська сільська рада, П'ятківська сільська рада, Поташнянська сільська рада, Сумівська сільська рада, Устянська сільська рада, Флоринська сільська рада, Яланецька сільська рада"
Вінницька область,Гайсинський район,Гайсинська територіальна громада,міська,2020,43,660.4,44192,25.10.2020,17,"Гайсинська міська рада, Бондурівська сільська рада, Бубнівська сільська рада, Губницька сільська рада, Гунчанська сільська рада, Жерденівська сільська рада, Зятковецька сільська рада, Карбівська сільська рада, Кунянська сільська рада, Кущинецька сільська рада, Кіблицька сільська рада, Ладижинсько-Хутірська сільська рада, Семиріцька сільська рада, Степаська сільська рада, Харпацька сільська рада, Чечелівська сільська рада, Ярмолинецька сільська рада"
Вінницька область,Гайсинський район,Дашівська територіальна громада,селищна,2020,24,446.3,14447,11.12.2016,11,"Дашівська селищна рада, Купчинецька сільська рада, Білківська сільська рада, Городоцька сільська рада, Кальницька сільська рада, Кантелинська сільська рада, Китайгородська сільська рада, Копіївська сільська рада, Криштопівська сільська рада, Леухівська сільська рада, Росоховатська сільська рада"
Вінницька область,Гайсинський район,Джулинська територіальна громада,сільська,2020,16,416.1,12834,11.12.2016,10,"Джулинська сільська рада, Дяківська сільська рада, М’якохідська сільська рада, Серебрійська сільська рада, Серединська сільська рада, Ставківська сільська рада, Тернівська сільська рада, Тирлівська сільська рада, Чернятська сільська рада, Шляхівська сільська рада"
Вінницька область,Гайсинський район,Краснопільська територіальна громада,сільська,2020,13,326.9,7647,29.10.2017,8,"Краснопільська сільська рада, Гранівська сільська рада, Грузька сільська рада, Митківська сільська рада, Михайлівська сільська рада, Нараївська сільська рада, Кивачівська сільська рада, Тополівська сільська рада"
Вінницька область,Гайсинський район,Кунківська територіальна громада,сільська,2020,11,175.4,4161,30.04.2017,4,"Кунківська сільська рада, Кузьминецька сільська рада, Мітлинецька сільська рада, Носовецька сільська рада"
Вінницька область,Гайсинський район,Ладижинська територіальна громада,міська,2020,6,123.8,24771,25.10.2020,2,"Ладижинська міська рада, Заозерненська сільська рада"
Вінницька область,Гайсинський район,Ободівська територіальна громада,сільська,2020,10,326.7,9814,25.10.2020,5,"Ободівська сільська рада, Верхівська сільська рада, Новоободівська сільська рада, Торканівська сільська рада, Цибулівська сільська рада"
Вінницька область,Гайсинський район,Ольгопільська територіальна громада,сільська,2020,5,234.7,6224,25.10.2020,5,"Ольгопільська сільська рада, Берізко-Чечельницька сільська рада, Демівська сільська рада, Любомирська сільська рада, Стратіївська сільська рада"
Вінницька область,Гайсинський район,Райгородська територіальна громада,сільська,2020,20,292.4,7172,11.12.2016,10,"Райгородська сільська рада, Ситковецька селищна рада, Вищекропивнянська сільська рада, Джуринецька сільська рада, Коржівська сільська рада, Мельниківська сільська рада, Новообиходівська сільська рада, Ометинецька сільська рада, Семенська сільська рада, Юрковецька сільська рада"
Вінницька область,Гайсинський район,Соболівська територіальна громада,сільська,2020,12,292.8,7923,30.06.2019,9,"Соболівська сільська рада, Брідоцька сільська рада, Великомочульська сільська рада, Завадівська сільська рада, Метанівська сільська рада, Орлівська сільська рада, Петрашівська сільська рада, Побірська сільська рада, Шиманівська сільська рада"
Вінницька область,Гайсинський район,Теплицька територіальна громада,селищна,2020,31,460.0,17251,30.06.2019,15,"Теплицька селищна рада, Бджільнянська сільська рада, Веселівська сільська рада, Залузька сільська рада, Комарівська сільська рада, Костюківська сільська рада, Маломочульська сільська рада, Погорільська сільська рада, Пологівська сільська рада, Росошанська сільська рада, Сашанська сільська рада, Сокирянська сільська рада, Степанівська сільська рада, Стражгородська сільська рада, Удицька сільська рада"
Вінницька область,Гайсинський район,Тростянецька територіальна громада,селищна,2020,26,530.4,23938,29.04.2018,13,"Тростянецька селищна рада, Ілляшівська сільська рада, Будянська сільська рада, Глибочанська сільська рада, Гордіївська сільська рада, Демидівська сільська рада, Капустянська сільська рада, Летківська сільська рада, Олександрівська сільська рада, Оляницька сільська рада, Савинецька сільська рада, Тростянчицька сільська рада, Четвертинівська сільська рада"
Вінницька область,Гайсинський район,Чечельницька територіальна громада,селищна,2020,17,524.8,13476,25.10.2020,11,"Чечельницька селищна рада, Бондурівська сільська рада, Бритавська сільська рада, Білокамінська сільська рада, Вербська сільська рада, Каташинська сільська рада, Куренівська сільська рада, Орган місцевого самоврядування Лузька сільська рада, Поповогребельська сільська рада, Рогізківська сільська рада, Тартацька сільська рада"
Вінницька область,Жмеринський район,Барська територіальна громада,міська,2020,70,766.4,40310,18.12.2016,21,"Барська міська рада, Івановецька сільська рада, Антонівська сільська рада, Балківська сільська рада, Войнашівська сільська рада, Гаївська сільська рада, Гармаківська сільська рада, Гулівська сільська рада, Журавлівська сільська рада, Комаровецька сільська рада, Кузьминецька сільська рада, Луко-Барська сільська рада, Мальчовецька сільська рада, Матейківська сільська рада, Мигалівецька сільська рада, Митківська сільська рада, Підлісноялтушківська сільська рада, Терешківська сільська рада, Ходацька сільська рада, Чемериська сільська рада, Ялтушківська сільська рада"
Вінницька область,Жмеринський район,Джуринська територіальна громада,сільська,2020,16,337.1,12813,25.10.2020,8,"Джуринська сільська рада, Голинчинецька сільська рада, Деребчинська сільська рада, Зведенівська сільська рада, Калитинська сільська рада, Садковецька сільська рада, Сапіжанська сільська рада, Хоменківська сільська рада"
Вінницька область,Жмеринський район,Жмеринська територіальна громада,міська,2020,34,531.7,48952,25.10.2020,13,"Жмеринська міська рада, Браїлівська селищна рада, Біликовецька сільська рада, Дубівська сільська рада, Жуковецька сільська рада, Кармалюківська сільська рада, Коростівецька сільська рада, Куриловецька сільська рада, Леляцька сільська рада, Лисогірська сільська рада, Людавська сільська рада, Почапинецька сільська рада, Рівська сільська рада"
Вінницька область,Жмеринський район,Копайгородська територіальна громада,селищна,2020,21,307.1,7961,25.10.2020,7,"Копайгородська селищна рада, Верхівська сільська рада, Володієвецька сільська рада, Каришківська сільська рада, Лісівська сільська рада, Поповецька сільська рада, Супівська сільська рада"
Вінницька область,Жмеринський район,Мурафська територіальна громада,сільська,2020,8,191.6,11560,30.04.2017,6,"Мурафська сільська рада, Клекотинська сільська рада, Михайлівська сільська рада, Пеньківська сільська рада, Федорівська сільська рада, Юхимівська сільська рада"
Вінницька область,Жмеринський район,Северинівська територіальна громада,сільська,2020,19,223.1,7922,18.12.2016,7,"Северинівська сільська рада, Олександрівська сільська рада, Сербинівська сільська рада, Слободо-Межирівська сільська рада, Стодулецька сільська рада, Чернятинська сільська рада, Маньковецька сільська рада"
Вінницька область,Жмеринський район,Станіславчицька територіальна громада,сільська,2020,16,301.0,7649,25.10.2020,9,"Станіславчицька сільська рада, Кам’яногірська сільська рада, Кацмазівська сільська рада, Луко-Мовчанська сільська рада, Мовчанська сільська рада, Носковецька сільська рада, Тарасівська сільська рада, Телелинецька сільська рада, КОАТУУ: 0521083006)"
Вінницька область,Жмеринський район,Шаргородська територіальна громада,міська,2020,32,482.1,24377,25.10.2020,15,"Шаргородська міська рада, Копистиринська сільська рада, Івашковецька сільська рада, Гибалівська сільська рада, Козлівська сільська рада, Конатковецька сільська рада, Лозівська сільська рада, Носиківська сільська рада, Пасинківська сільська рада, Перепільчинецька сільська рада, Писарівська сільська рада, Плебанівська сільська рада, Політанківська сільська рада, Руданська сільська рада, Слободо-Шаргородська сільська рада"
Вінницька область,Могилів-Подільський район,Бабчинецька територіальна громада,сільська,2020,13,207.5,5354,18.12.2016,6,"Бабчинецька сільська рада, Вила-Ярузька сільська рада, Моївська сільська рада, Бандишівська сільська рада, Мервинецька сільська рада, КОАТУУ: 0525686602)"
Вінницька область,Могилів-Подільський район,Вендичанська територіальна громада,селищна,2020,25,436.4,13871,25.10.2020,12,"Вендичанська селищна рада, Конівська сільська рада, Кричанівська сільська рада, Кукавська сільська рада, Серебринецька сільська рада, Слідянська сільська рада, Сугаківська сільська рада, Тропівська сільська рада, Лучинецька сільська рада, Лучинчицька сільська рада, Немерченська сільська рада, Плосківська сільська рада"
Вінницька область,Могилів-Подільський район,Могилів-Подільська територіальна громада,міська,2020,26,373.8,42726,25.10.2020,11,"Могилів-Подільська міська рада, Озаринецька сільська рада, Бронницька сільська рада, Грушанська сільська рада, Карпівська сільська рада, Немійська сільська рада, Пилипівська сільська рада, Серебрійська сільська рада, Сказинецька сільська рада, Суботівська сільська рада, Ярузька сільська рада"
Вінницька область,Могилів-Подільський район,Мурованокуриловецька територіальна громада,селищна,2020,50,738.8,20873,25.10.2020,21,"Мурованокуриловецька селищна рада, Бахтинська сільська рада, Вербовецька сільська рада, Вищеольчедаївська сільська рада, Галайковецька сільська рада, Дерешівська сільська рада, Долинянська сільська рада, Жванська сільська рада, Конищівська сільська рада, Котюжанівська сільська рада, Курашовецька сільська рада, Михайловецька сільська рада, Морозівська сільська рада, Наддністрянська сільська рада, Обухівська сільська рада, Петриманська сільська рада, Попелюхівська сільська рада, Роздолівська сільська рада, Рівненська сільська рада, Снітківська сільська рада, Степанківська сільська рада"
Вінницька область,Могилів-Подільський район,Чернівецька територіальна громада,селищна,2020,30,426.0,15561,25.10.2020,11,"Чернівецька селищна рада, Березівська сільська рада, Борівська сільська рада, Білянська сільська рада, Володіївецька сільська рада, Гонтівська сільська рада, Лозівська сільська рада, Мазурівська сільська рада, Саїнська сільська рада, Сокільська сільська рада, Шендерівська сільська рада"
Вінницька область,Могилів-Подільський район,Ямпільська територіальна громада,міська,2020,38,787.9,37290,25.10.2020,19,"Ямпільська міська рада, Безводнівська сільська рада, Бушанська сільська рада, Великокісницька сільська рада, Гальжбіївська сільська рада, Дзигівська сільська рада, Довжоцька сільська рада, Качківська сільська рада, Клембівська сільська рада, Михайлівська сільська рада, Петрашівська сільська рада, Писарівська сільська рада, Порогівська сільська рада, Ратуська сільська рада, Русавська сільська рада, Северинівська сільська рада, Слободо-Підлісівська сільська рада, Тростянецька сільська рада, Цекинівська сільська рада"
Вінницька область,Могилів-Подільський район,Яришівська територіальна громада,сільська,2020,13,250.6,6781,25.10.2020,8,"Яришівська сільська рада, Бернашівська сільська рада, Жеребилівська сільська рада, Козлівська сільська рада, Кремінська сільська рада, Слобода-Яришівська сільська рада, Хоньковецька сільська рада, Юрковецька сільська рада"
Вінницька область,Тульчинський район,Брацлавська територіальна громада,селищна,2020,19,260.4,9655,29.10.2017,10,"Брацлавська селищна рада, Бугаківська сільська рада, Вишковецька сільська рада, Вовчоцька сільська рада, Грабовецька сільська рада, Гриненківська сільська рада, Зяньковецька сільська рада, Марксівська сільська рада, Новоселівська сільська рада, Скрицька сільська рада"
Вінницька область,Тульчинський район,Вапнярська територіальна громада,селищна,2020,6,112.2,9500,28.08.2016,5,"Вапнярська селищна рада, Вербівська сільська рада, Височанська сільська рада, Колоденська сільська рада, Марківська сільська рада"
Вінницька область,Тульчинський район,Городківська територіальна громада,сільська,2020,25,463.5,11662,25.10.2020,9,"Городківська сільська рада, Андріяшівська сільська рада, Вербська сільська рада, Вільшанська сільська рада, Гарячківська сільська рада, Дахталійська сільська рада, Джугастрянська сільська рада, Кісницька сільська рада, Савчинська сільська рада"
Вінницька область,Тульчинський район,Крижопільська територіальна громада,селищна,2020,19,421.9,19974,25.10.2020,11,"Крижопільська селищна рада, Голубецька сільська рада, Жабокрицька сільська рада, Заболотненська сільська рада, Красносільська сільська рада, Крикливецька сільська рада, Куницька сільська рада, Павлівська сільська рада, Соколівська сільська рада, Тернівська сільська рада, Шарапанівська сільська рада"
Вінницька область,Тульчинський район,Піщанська територіальна громада,селищна,2020,14,335.9,13746,25.10.2020,9,"Піщанська селищна рада, Рудницька селищна рада, Городищенська сільська рада, Дмитрашківська сільська рада, Миролюбівська сільська рада, Рудницька сільська рада, Ставківська сільська рада, Чорноминська сільська рада, Яворівська сільська рада"
Вінницька область,Тульчинський район,Студенянська територіальна громада,сільська,2020,15,259.4,5911,25.10.2015,6,"Студенянська сільська рада, Грабарівська сільська рада, Болганська сільська рада, Гонорівська сільська рада, Кукулівська сільська рада, Трибусівська сільська рада"
Вінницька область,Тульчинський район,Томашпільська територіальна громада,селищна,2020,28,666.6,21930,18.12.2016,19,"Томашпільська селищна рада, Антонівська сільська рада, Великорусавська сільська рада, Вилянська сільська рада, Гнатківська сільська рада, Горишківська сільська рада, Жолоб’янська сільська рада, Кислицька сільська рада, Комаргородська сільська рада, Липівська сільська рада, Нетребівська сільська рада, Олександрівська сільська рада, Паланська сільська рада, Пеньківська сільська рада, Пилипи-Борівська сільська рада, Раківська сільська рада, Рожнятівська сільська рада, Стінянська сільська рада, Яланецька сільська рада"
Вінницька область,Тульчинський район,Тульчинська територіальна громада,міська,2020,36,860.4,43819,18.12.2016,20,"Тульчинська міська рада, Кирнасівська селищна рада, Богданівська сільська рада, Бортницька сільська рада, Білоусівська сільська рада, Ганнопільська сільська рада, Дранська сільська рада, Журавлівська сільська рада, Зарічненська сільська рада, Кинашівська сільська рада, Клебанська сільська рада, Копіївська сільська рада, Крищинецька сільська рада, Михайлівська сільська рада, Суворовська сільська рада, Сільницька сільська рада, Тарасівська сільська рада, Тиманівська сільська рада, Холодівська сільська рада, Шуро-Копіївська сільська рада"
Вінницька область,Тульчинський район,Шпиківська територіальна громада,селищна,2020,27,478.9,16084,11.12.2016,12,"Шпиківська селищна рада, Левківська сільська рада, Печерська сільська рада, Торківська сільська рада, Юрківська сільська рада, Бушинська сільська рада, Великовулизька сільська рада, Маловулизька сільська рада, Слідянська сільська рада, Рахнівсько-Лісова сільська рада, Стрільницька сільська рада, Юліямпільська сільська рада"
Вінницька область,Хмільницький район,Іванівська територіальна громада,сільська,2020,14,311.6,13424,29.10.2017,6,"Іванівська сільська рада, Байківська сільська рада, Гущинецька сільська рада, Жигалівська сільська рада, Пиківська сільська рада, Уладівська сільська рада"
Вінницька область,Хмільницький район,Війтівецька територіальна громада,сільська,2020,15,167.5,5490,18.12.2016,5,"Війтівецька сільська рада, Качанівська сільська рада, Мар’янівська сільська рада, Сулківська сільська рада, Терешпільська сільська рада"
Вінницька область,Хмільницький район,Глуховецька територіальна громада,селищна,2020,17,262.9,11215,29.10.2017,9,"Глуховецька селищна рада, Бродецька селищна рада, Білопільська сільська рада, Вернигородоцька сільська рада, Жежелівська сільська рада, Кашперівська сільська рада, Непедівська сільська рада, Пляхівська сільська рада, Пузирківська сільська рада"
Вінницька область,Хмільницький район,Калинівська територіальна громада,міська,2020,49,844.1,45257,25.10.2015,24,"Калинівська міська рада, Бережанська сільська рада, Глинська сільська рада, Голубівська сільська рада, Дружелюбівська сільська рада, Дружненська сільська рада, Заливанщинська сільська рада, Корделівська сільська рада, Котюжинецька сільська рада, Лемешівська сільська рада, Люлинецька сільська рада, Лісоволисіївська сільська рада, Мирненська сільська рада, Мізяківська сільська рада, Нападівська сільська рада, Новогребельська сільська рада, Павлівська сільська рада, Писарівська сільська рада, Радівська сільська рада, Сальницька сільська рада, Уладівська сільська рада, Хомутинецька сільська рада, Черепашинецька сільська рада, Чернятинська сільська рада"
Вінницька область,Хмільницький район,Козятинська територіальна громада,міська,2020,16,234.5,32922,25.10.2020,8,"Козятинська міська рада, Козятинська сільська рада, Кордишівська сільська рада, Махаринецька сільська рада, Пиковецька сільська рада, Сестринівська сільська рада, Сокілецька сільська рада, Флоріанівська сільська рада"
Вінницька область,Хмільницький район,Махнівська територіальна громада,сільська,2020,20,311.4,7929,22.12.2019,8,"Махнівська сільська рада, Безіменська сільська рада, Вовчинецька сільська рада, Куманівська сільська рада, Переможнянська сільська рада, Поличинецька сільська рада, Тернівська сільська рада, Юрівська сільська рада"
